name,scores_overall,rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,year
"Soochow University, China",34.0–39.2,7710,23.0,878,21.4,691,64.5,580,59.9,271,25.9,1430,"47,989",15.5,5%,54 : 46,2023
Southern Cross University,34.0–39.2,7720,18.7,1254,24.9,561,55.9,745,47.4,478,80.7,213,"10,866",36.1,28%,64 : 36,2023
University of Strasbourg,34.0–39.2,7730,24.7,771,23.1,624,59.6,674,44.2,603,73.3,294,"51,028",19.8,21%,59 : 41,2023
Sultan Qaboos University,34.0–39.2,7740,23.1,872,18.4,825,56.9,723,40.6,887,74.9,273,"7,436",8.6,4%,50 : 50,2023
University of the Sunshine Coast,34.0–39.2,7750,19.5,1176,26.5,515,48.0,887,42.9,693,70.5,340,"11,118",29.6,16%,69 : 31,2023
SUNY Binghamton University,34.0–39.2,7760,25.3,723,20.4,725,56.8,725,40.0,974,37.0,1044,"18,852",22.0,11%,50 : 50,2023
University of Tabriz,34.0–39.2,7770,23.4,845,21.4,692,68.9,506,41.0,848,36.7,1052,"20,983",27.2,6%,49 : 51,2023
Tabriz University of Medical Sciences,34.0–39.2,7780,42.4,196,13.9,1115,58.4,697,37.1,1630,25.7,1437,"8,524",9.9,2%,54 : 46,2023
Taif University,34.0–39.2,7790,16.9,1507,12.4,1249,75.3,405,38.8,1153,72.0,322,"39,622",19.6,2%,56 : 44,2023
Tallinn University of Technology,34.0–39.2,7800,20.2,1115,20.8,715,55.1,761,52.4,364,77.6,243,"8,739",12.6,17%,40 : 60,2023
University of Tehran,34.0–39.2,7810,32.9,412,31.7,390,51.9,818,36.9,1793,29.0,1303,"45,295",21.5,2%,45 : 55,2023
Tehran University of Medical Sciences,34.0–39.2,7820,46.4,141,17.4,874,44.8,947,40.6,888,31.7,1205,"11,605",6.4,11%,57 : 43,2023
Universiti Teknologi Malaysia,34.0–39.2,7830,33.0,409,28.9,452,41.7,995,46.2,516,64.2,420,"19,974",13.5,20%,47 : 53,2023
University of Texas at Arlington,34.0–39.2,7840,23.9,821,19.2,789,56.8,726,40.2,936,45.6,786,"33,537",29.5,13%,60 : 40,2023
The University of Texas at San Antonio,34.0–39.2,7850,21.2,1027,21.5,685,69.0,505,39.0,1120,38.0,1015,"27,187",24.7,3%,51 : 49,2023
Thapar Institute of Engineering and Technology,34.0–39.2,7860,21.3,1019,12.0,1292,88.4,176,37.3,1540,23.4,1551,"9,375",16.9,1%,28 : 72,2023
University of Toledo,34.0–39.2,7870,34.8,356,15.1,1017,49.9,856,41.9,768,48.6,705,"17,871",16.1,10%,52 : 48,2023
Tomsk State University,34.0–39.2,7880,41.5,208,37.4,273,18.0,1468,88.7,78,73.5,292,"7,806",11.7,36%,0,2023
TU Braunschweig,34.0–39.2,7890,26.4,680,15.4,1002,53.8,779,42.8,701,58.4,508,"19,676",9.8,17%,40 : 60,2023
University of Ulsan,34.0–39.2,7900,21.8,975,24.4,578,66.2,554,65.1,229,23.7,1535,"12,415",11.0,4%,48 : 52,2023
Ulster University,34.0–39.2,7910,19.9,1140,22.3,654,50.5,846,39.0,1124,77.6,244,"17,685",18.8,9%,57 : 43,2023
Umm Al-Qura University,34.0–39.2,7920,30.2,519,13.3,1170,51.7,822,59.9,273,82.2,194,"30,207",8.3,11%,34 : 66,2023
Paris Lodron Universität Salzburg,34.0–39.2,7930,26.5,674,22.8,634,48.8,874,41.3,820,95.2,41,"7,169",11.9,34%,66 : 34,2023
Wenzhou University,34.0–39.2,7940,14.9,1700,11.2,1365,86.3,214,40.6,890,27.8,1355,"21,827",18.2,3%,58 : 42,2023
University of the Western Cape,34.0–39.2,7950,20.4,1095,23.7,603,61.6,630,36.9,1798,55.8,561,"23,510",33.8,6%,61 : 39,2023
University of the West of Scotland,34.0–39.2,7960,24.1,808,15.5,994,61.5,635,37.9,1338,76.8,254,"12,120",22.0,20%,63 : 37,2023
University of Windsor,34.0–39.2,7970,35.1,340,29.4,442,34.5,1120,44.2,604,88.7,127,"14,516",33.3,29%,0,2023
University of Wolverhampton,34.0–39.2,7980,18.2,1321,14.3,1088,68.8,508,37.3,1547,72.0,324,"14,900",17.2,24%,62 : 38,2023
University of Wuppertal,34.0–39.2,7990,26.4,681,26.7,508,52.8,801,52.1,370,47.6,730,"15,668",39.6,10%,53 : 47,2023
Xi’an Jiaotong-Liverpool University,34.0–39.2,8000,17.8,1385,14.8,1045,68.2,513,38.2,1264,72.4,315,"15,767",19.9,5%,52 : 48,2023
Yokohama City University,34.0–39.2,8010,26.4,682,10.2,1492,82.8,271,47.6,469,25.2,1456,"5,073",6.0,2%,56 : 44,2023
Zhengzhou University,34.0–39.2,8020,17.8,1386,15.4,1004,71.8,461,38.3,1233,22.2,1601,"70,824",17.5,3%,49 : 51,2023
University of the Aegean,29.8–33.9,8030,17.3,1442,19.3,774,53.7,783,62.8,246,34.7,1110,"22,148",68.4,1%,55 : 45,2023
"University of Agriculture, Faisalabad",29.8–33.9,8040,24.0,809,17.4,867,55.3,757,46.7,495,45.0,799,"27,826",42.4,0%,45 : 55,2023
The University of Aizu,29.8–33.9,8050,21.9,957,13.0,1185,50.8,837,40.0,956,74.6,280,"1,217",12.1,9%,11 : 89,2023
The University of Alabama,29.8–33.9,8060,27.2,640,19.1,791,54.2,772,37.5,1413,31.0,1232,"35,457",20.9,4%,56 : 44,2023
Al-Azhar University,29.8–33.9,8070,14.9,1695,9.6,1553,63.3,601,37.0,1639,48.7,699,"425,977",38.4,6%,38 : 62,2023
Al-Balqa Applied University,29.8–33.9,8080,12.9,1786,11.7,1307,69.8,489,41.2,822,41.3,929,"28,178",27.7,2%,59 : 41,2023
University of Alcalá,29.8–33.9,8090,21.3,1011,14.0,1102,50.8,838,39.4,1039,60.4,471,"15,941",10.2,24%,60 : 40,2023
Alexandria University,29.8–33.9,8100,18.6,1259,13.7,1121,56.2,733,40.7,868,46.1,769,"202,206",28.2,4%,52 : 48,2023
Aligarh Muslim University,29.8–33.9,8110,35.7,329,12.9,1198,51.1,833,40.0,957,27.7,1356,"20,428",12.1,2%,40 : 60,2023
American University in Cairo,29.8–33.9,8120,24.4,787,26.6,510,32.5,1160,40.4,901,64.4,415,"5,921",13.7,5%,56 : 44,2023
Anna University,29.8–33.9,8130,21.3,1012,26.6,511,53.5,787,45.2,554,16.5,1779,"15,149",15.9,1%,43 : 57,2023
University of Applied Sciences and Arts of Western Switzerland,29.8–33.9,8140,21.0,1034,11.4,1328,41.2,1002,40.4,902,90.5,107,"17,491",6.5,30%,53 : 47,2023
Aristotle University of Thessaloniki,29.8–33.9,8150,19.0,1213,16.2,940,56.9,721,41.4,804,40.4,946,"49,840",19.7,5%,58 : 42,2023
Athens University of Economics and Business,29.8–33.9,8160,18.3,1296,26.6,512,42.1,985,38.9,1128,48.4,709,"9,682",51.0,6%,45 : 55,2023
Universidad Autónoma de Chile,29.8–33.9,8170,13.2,1775,10.2,1482,72.4,449,36.9,1722,49.7,675,"27,474",22.9,1%,63 : 37,2023
University of Aveiro,29.8–33.9,8180,25.9,696,25.7,532,40.2,1024,39.0,1104,50.4,661,"12,566",15.1,10%,54 : 46,2023
University of the Balearic Islands,29.8–33.9,8190,19.2,1194,16.3,934,51.2,829,37.0,1648,49.6,678,"11,493",11.8,8%,60 : 40,2023
University of the Basque Country,29.8–33.9,8200,21.5,987,21.8,670,51.7,819,39.6,1016,44.5,818,"43,018",15.4,6%,55 : 45,2023
University of Bedfordshire,29.8–33.9,8210,17.9,1354,15.2,1010,49.7,860,37.1,1593,79.2,227,"13,175",29.6,59%,59 : 41,2023
University of Beira Interior,29.8–33.9,8220,17.8,1371,20.9,711,50.6,843,38.4,1201,58.1,511,"7,861",17.0,22%,53 : 47,2023
University of Belgrade,29.8–33.9,8230,21.1,1029,33.0,350,44.5,949,42.9,685,43.4,854,"93,251",18.9,5%,62 : 38,2023
Beni-Suef University,29.8–33.9,8240,17.9,1355,8.7,1687,67.8,517,36.9,1728,45.9,775,"82,124",28.3,1%,50 : 50,2023
University of Bergamo,29.8–33.9,8250,18.2,1310,22.4,646,51.5,827,41.2,823,35.5,1081,"22,115",60.9,7%,62 : 38,2023
Bharathiar University,29.8–33.9,8260,36.6,306,27.6,483,30.4,1200,37.5,1418,23.7,1530,"4,097",18.8,0%,63 : 37,2023
Bilkent University,29.8–33.9,8270,23.4,843,24.2,582,43.5,961,55.3,316,63.7,427,"9,682",14.2,8%,46 : 54,2023
"Birla Institute of Technology and Science, Pilani",29.8–33.9,8280,20.3,1099,11.3,1341,63.8,594,38.2,1234,19.8,1692,"15,651",18.1,2%,19 : 81,2023
Boğaziçi University,29.8–33.9,8290,24.4,788,24.6,569,39.8,1030,54.1,338,41.8,906,"12,614",22.3,3%,45 : 55,2023
University of Brighton,29.8–33.9,8300,17.9,1356,15.6,982,53.0,793,37.6,1385,78.0,239,"15,015",16.8,22%,60 : 40,2023
Cairo University,29.8–33.9,8310,23.6,832,17.1,883,51.7,820,37.6,1387,38.7,991,"224,216",36.8,4%,54 : 46,2023
University of Calabria,29.8–33.9,8320,17.1,1466,18.0,842,57.3,713,37.4,1461,37.9,1016,"19,788",23.2,3%,57 : 43,2023
Chapman University,29.8–33.9,8330,38.5,272,13.9,1110,43.3,966,37.4,1462,40.6,942,"9,332",12.8,8%,61 : 39,2023
Institute of Chemical Technology,29.8–33.9,8340,38.1,280,19.9,745,35.6,1099,42.5,720,15.1,1794,"2,550",17.2,0%,30 : 70,2023
Chengdu University,29.8–33.9,8350,16.5,1554,10.6,1435,67.5,528,42.7,703,22.4,1592,"22,762",16.3,2%,59 : 41,2023
"China University of Petroleum, Beijing",29.8–33.9,8360,24.4,789,25.2,552,38.4,1056,94.6,42,22.4,1593,"17,001",17.4,4%,0,2023
Chulalongkorn University,29.8–33.9,8370,31.5,459,25.5,538,34.5,1117,87.5,83,38.1,1010,"34,095",11.5,3%,58 : 42,2023
Clemson University,29.8–33.9,8380,25.2,726,21.4,686,41.7,993,40.9,851,43.7,839,"23,491",15.5,6%,49 : 51,2023
University of Clermont Auvergne,29.8–33.9,8390,18.7,1248,16.3,935,48.9,870,38.2,1236,61.2,460,"36,630",20.9,15%,57 : 43,2023
Coventry University,29.8–33.9,8400,18.8,1235,14.4,1072,52.4,807,37.1,1599,94.0,61,"32,820",16.1,47%,48 : 52,2023
CY Cergy Paris University,29.8–33.9,8410,22.7,897,24.6,571,35.9,1089,42.4,727,88.2,135,"14,999",19.6,23%,52 : 48,2023
University of Dayton,29.8–33.9,8420,32.6,419,25.4,544,29.5,1222,43.4,648,33.1,1161,"11,183",16.5,11%,48 : 52,2023
University of Deusto,29.8–33.9,8430,18.9,1219,20.3,729,49.9,855,46.1,519,47.4,735,"9,518",20.1,11%,58 : 42,2023
Diego Portales University,29.8–33.9,8440,15.4,1655,11.1,1368,69.5,495,36.9,1735,52.1,623,"17,613",16.0,2%,50 : 50,2023
Donghua University,29.8–33.9,8450,20.7,1057,19.6,757,55.1,759,65.0,231,32.2,1183,"22,434",14.4,6%,45 : 55,2023
Duzce University,29.8–33.9,8460,20.4,1085,14.6,1054,56.7,727,83.5,98,26.6,1400,"21,552",35.5,8%,44 : 56,2023
Edge Hill University,29.8–33.9,8470,17.7,1387,14.2,1091,58.0,702,37.0,1662,49.1,691,"10,990",15.4,7%,69 : 31,2023
"University of Engineering and Technology, Peshawar",29.8–33.9,8480,14.2,1742,11.8,1301,62.0,622,38.2,1239,44.6,813,"8,680",20.7,1%,6 : 94,2023
Ewha Womans University,29.8–33.9,8490,32.3,438,33.1,345,26.2,1281,70.4,191,44.3,822,"14,746",17.5,13%,100 : 0,2023
Federal University of Minas Gerais,29.8–33.9,8500,34.2,373,19.1,792,42.2,982,38.7,1158,29.4,1291,"40,998",12.9,1%,53 : 47,2023
Universidade Federal de Sergipe,29.8–33.9,8510,17.4,1432,9.9,1530,67.2,534,36.9,1742,23.1,1558,"26,327",15.8,0%,51 : 49,2023
Firat University,29.8–33.9,8520,15.6,1635,9.0,1643,74.6,420,37.0,1666,25.1,1458,"39,961",20.6,5%,37 : 63,2023
Florida Agricultural and Mechanical University,29.8–33.9,8530,36.8,302,13.8,1118,36.8,1080,37.3,1506,41.5,921,"9,342",16.8,1%,66 : 34,2023
Florida Atlantic University,29.8–33.9,8540,21.5,993,19.3,775,46.0,926,42.6,715,48.5,708,"24,191",18.7,10%,64 : 36,2023
University of Foggia,29.8–33.9,8550,17.9,1360,21.3,696,55.7,748,38.8,1146,26.3,1409,"11,292",31.8,1%,63 : 37,2023
University of the Free State,29.8–33.9,8560,18.1,1330,17.6,857,49.4,864,40.1,945,47.3,738,"33,826",36.8,2%,63 : 37,2023
Fujita Health University,29.8–33.9,8570,25.1,737,11.7,1310,64.0,590,40.2,928,20.5,1668,"3,082",3.8,1%,57 : 43,2023
Fuzhou University,29.8–33.9,8580,17.2,1458,14.4,1073,60.1,663,55.0,322,29.0,1302,"39,987",16.8,1%,39 : 61,2023
University of Girona,29.8–33.9,8590,18.9,1221,21.9,667,52.8,799,39.6,1020,53.0,605,"14,011",21.1,15%,57 : 43,2023
Guangdong University of Technology,29.8–33.9,8600,16.2,1582,14.8,1041,69.9,488,61.1,261,25.1,1459,"46,040",18.1,0%,29 : 71,2023
Hiroshima University,29.8–33.9,8610,32.5,426,23.5,607,29.7,1219,49.6,414,38.6,994,"14,612",8.1,9%,37 : 63,2023
Indian Institute of Technology Patna,29.8–33.9,8620,27.2,641,24.0,590,50.1,851,37.1,1610,17.8,1752,"2,203",17.9,0%,18 : 82,2023
Indian Institute of Technology Gandhinagar,29.8–33.9,8630,34.0,376,27.5,489,34.2,1126,44.8,571,23.9,1519,"1,782",15.1,1%,26 : 74,2023
Universitat Internacional de Catalunya,29.8–33.9,8640,17.6,1412,15.6,984,57.0,718,40.2,929,63.7,431,"5,172",14.0,34%,63 : 37,2023
University of Ioannina,29.8–33.9,8650,15.5,1647,14.5,1066,60.6,653,39.0,1109,43.4,856,"32,168",39.6,3%,69 : 31,2023
ISCTE-University Institute of Lisbon,29.8–33.9,8660,24.0,814,32.0,387,36.0,1087,41.8,769,55.5,564,"9,374",24.9,17%,52 : 48,2023
The Islamia University of Bahawalpur,29.8–33.9,8670,21.4,1007,12.1,1277,62.9,608,37.1,1612,43.2,865,"35,698",28.5,0%,46 : 54,2023
Istanbul Medeniyet University,29.8–33.9,8680,17.7,1391,9.9,1533,66.4,550,37.0,1675,22.7,1587,"10,536",13.4,3%,52 : 48,2023
ITMO University,29.8–33.9,8690,28.8,572,32.6,366,28.2,1248,71.7,184,65.5,396,"10,814",15.0,22%,34 : 66,2023
Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,29.8–33.9,8700,20.7,1059,9.2,1615,61.7,628,37.3,1512,52.1,625,"8,017",7.9,33%,66 : 34,2023
University of Jaén,29.8–33.9,8710,18.5,1270,17.6,859,54.7,766,37.1,1613,44.7,810,"13,767",16.4,9%,57 : 43,2023
Juntendo University,29.8–33.9,8720,33.5,394,18.6,815,47.3,898,52.9,357,22.8,1579,"5,980",4.6,3%,55 : 45,2023
Kansas State University,29.8–33.9,8730,27.5,623,20.8,713,41.0,1005,42.2,735,46.9,752,"19,927",13.1,7%,51 : 49,2023
Karlstad University,29.8–33.9,8740,17.3,1447,14.4,1075,54.6,768,37.5,1429,41.2,934,"9,698",14.0,%,63 : 37,2023
Kazan Federal University,29.8–33.9,8750,38.8,263,19.7,754,23.9,1332,50.7,397,61.8,456,"22,673",10.4,29%,66 : 34,2023
Keio University,29.8–33.9,8760,31.8,452,24.7,568,44.3,952,44.9,567,33.7,1141,"33,636",10.1,8%,37 : 63,2023
Kerman University of Medical Sciences,29.8–33.9,8770,30.6,497,9.9,1534,51.2,830,41.0,844,20.8,1660,"5,226",3.4,2%,0,2023
Kindai University,29.8–33.9,8780,19.7,1152,11.0,1391,59.8,672,41.3,813,27.6,1363,"33,234",14.6,2%,32 : 68,2023
King Faisal University,29.8–33.9,8790,18.4,1289,9.4,1594,55.4,756,43.0,678,74.1,286,"27,805",13.1,2%,67 : 33,2023
King Khalid University,29.8–33.9,8800,21.8,971,8.9,1661,52.9,795,37.9,1323,79.3,226,"39,389",8.3,7%,55 : 45,2023
King Mongkut’s University of Technology Thonburi,29.8–33.9,8810,18.4,1290,18.6,816,57.0,719,71.8,181,36.0,1065,"15,116",19.8,2%,46 : 54,2023
Kingston University,29.8–33.9,8820,18.9,1223,16.1,947,39.5,1035,37.3,1516,87.7,141,"14,975",19.4,43%,58 : 42,2023
KL University,29.8–33.9,8830,16.9,1498,9.6,1559,68.4,511,37.2,1568,17.2,1766,"17,801",14.5,2%,36 : 64,2023
Kobe University,29.8–33.9,8840,33.3,399,25.2,553,38.5,1052,46.7,498,33.1,1162,"15,477",10.3,8%,36 : 64,2023
Kurume University,29.8–33.9,8850,23.0,875,11.0,1393,60.5,656,39.4,1051,23.8,1524,"5,062",7.6,2%,0,2023
Kuwait University,29.8–33.9,8860,18.2,1316,10.2,1487,61.5,633,38.9,1133,68.5,363,"24,680",15.2,15%,76 : 24,2023
Kyungpook National University,29.8–33.9,8870,29.2,557,35.6,303,27.5,1260,88.0,81,44.2,827,"18,892",20.2,13%,47 : 53,2023
University of Lahore,29.8–33.9,8880,15.3,1665,9.6,1560,65.3,568,37.5,1432,47.1,747,"27,149",14.8,2%,37 : 63,2023
Lakehead University,29.8–33.9,8890,18.3,1301,23.0,626,46.3,915,38.9,1134,57.6,517,"8,365",25.8,21%,55 : 45,2023
University of La Laguna,29.8–33.9,8900,18.2,1317,14.2,1093,55.2,758,38.4,1211,47.9,720,"18,270",12.8,5%,58 : 42,2023
University of Latvia,29.8–33.9,8910,18.6,1265,27.6,484,45.3,940,47.0,490,54.7,582,"11,877",32.7,7%,68 : 32,2023
Leeds Beckett University,29.8–33.9,8920,16.7,1528,16.5,926,58.8,690,37.4,1474,57.3,523,"18,945",20.3,13%,54 : 46,2023
Lithuanian University of Health Sciences,29.8–33.9,8930,21.0,1036,10.6,1440,60.7,652,37.4,1475,58.9,502,"6,167",8.6,22%,75 : 25,2023
University of Ljubljana,29.8–33.9,8940,21.9,961,19.5,764,47.1,905,42.7,705,47.9,721,"37,615",13.1,8%,60 : 40,2023
University of Lleida,29.8–33.9,8950,20.7,1061,19.5,765,49.1,866,41.9,762,42.2,894,"9,164",15.4,10%,59 : 41,2023
Lovely Professional University,29.8–33.9,8960,18.2,1318,10.6,1441,66.8,542,38.1,1278,28.9,1306,"33,469",14.8,6%,24 : 76,2023
Mae Fah Luang University,29.8–33.9,8970,15.5,1650,12.4,1247,58.8,691,38.8,1150,47.0,748,"13,802",21.0,4%,73 : 27,2023
Mahidol University,29.8–33.9,8980,32.8,414,22.5,645,35.8,1095,69.8,194,45.7,779,"28,477",9.0,5%,64 : 36,2023
Makerere University,29.8–33.9,8990,21.8,973,27.7,481,34.5,1119,52.2,366,57.6,518,"31,233",21.0,3%,51 : 49,2023
Universiti Malaysia Pahang,29.8–33.9,9000,19.8,1146,18.2,837,58.7,692,39.6,1022,51.5,638,"8,140",13.3,7%,48 : 52,2023
University of Malta,29.8–33.9,9010,19.6,1160,16.7,911,53.4,789,37.5,1437,62.6,445,"9,687",10.7,13%,60 : 40,2023
Manipal Academy of Higher Education,29.8–33.9,9020,40.9,214,17.8,849,32.6,1159,46.7,499,36.8,1048,"23,002",9.0,12%,49 : 51,2023
Marquette University,29.8–33.9,9030,37.5,291,16.6,918,37.9,1068,38.7,1161,25.6,1440,"10,540",12.0,3%,57 : 43,2023
Masaryk University,29.8–33.9,9040,23.9,817,29.7,432,34.0,1131,38.1,1279,66.7,385,"32,271",18.9,23%,62 : 38,2023
Medical University of Gdańsk,29.8–33.9,9050,25.3,721,9.3,1606,55.7,750,37.0,1686,41.9,905,"6,344",5.6,16%,65 : 35,2023
University of Memphis,29.8–33.9,9060,29.3,554,17.7,852,42.2,983,37.2,1572,29.9,1274,"16,520",14.7,5%,60 : 40,2023
University of Minho,29.8–33.9,9070,24.4,790,28.9,451,38.8,1044,58.9,283,57.6,519,"19,922",19.6,16%,55 : 45,2023
Mississippi State University,29.8–33.9,9080,22.8,891,18.5,818,44.9,944,40.6,882,41.6,915,"21,810",15.2,3%,52 : 48,2023
University of Missouri-St Louis,29.8–33.9,9090,33.1,406,18.8,806,44.2,953,47.4,474,41.7,912,"6,365",15.8,5%,58 : 42,2023
Montana State University,29.8–33.9,9100,21.0,1037,17.7,853,57.6,708,45.5,543,36.9,1045,"14,094",16.0,3%,47 : 53,2023
Monterrey Institute of Technology,29.8–33.9,9110,20.4,1090,19.6,759,52.3,811,60.9,265,57.7,515,"15,735",14.3,10%,43 : 57,2023
University of Namur,29.8–33.9,9120,20.6,1074,21.2,702,46.5,913,45.0,566,67.9,370,"6,753",20.8,12%,57 : 43,2023
Nanjing Forestry University,29.8–33.9,9130,16.6,1542,9.3,1607,67.5,531,41.1,833,22.7,1588,"32,318",17.6,1%,0,2023
Nanjing University of Information Science and Technology,29.8–33.9,9140,17.7,1393,16.1,949,61.0,647,44.2,600,33.6,1145,"33,008",16.7,3%,0,2023
Nanjing Normal University,29.8–33.9,9150,21.7,978,13.7,1124,58.7,693,52.7,360,24.9,1469,"31,211",13.0,2%,70 : 30,2023
Nanjing Tech University,29.8–33.9,9160,19.1,1206,13.7,1125,58.9,688,61.3,259,30.1,1268,"38,866",13.5,3%,0,2023
National Institute of Applied Sciences of Lyon (INSA Lyon),29.8–33.9,9170,32.4,432,22.9,628,30.8,1193,77.4,140,70.8,337,"6,382",18.9,27%,36 : 64,2023
École Nationale des Travaux Publics de l'État (ENTPE),29.8–33.9,9180,31.3,475,34.7,314,24.9,1311,77.2,144,62.1,451,809,15.3,13%,42 : 58,2023
National University of Sciences and Technology,29.8–33.9,9190,21.5,1000,17.7,854,50.9,836,39.2,1082,47.4,736,"11,737",9.4,5%,34 : 66,2023
National Sun Yat-Sen University,29.8–33.9,9200,25.1,738,33.2,344,27.1,1268,54.8,326,44.3,825,"8,150",12.3,8%,40 : 60,2023
National Taiwan Normal University,29.8–33.9,9210,28.0,602,34.4,319,28.8,1238,74.4,161,51.8,630,"10,699",12.2,16%,0,2023
National Technical University of Athens,29.8–33.9,9220,23.3,852,21.6,678,43.9,956,99.1,25,38.1,1011,"13,732",19.9,6%,33 : 67,2023
National Institute of Technology Hamirpur,29.8–33.9,9230,17.0,1492,16.6,919,72.1,457,39.2,1083,14.9,1798,"3,823",20.7,0%,22 : 78,2023
"National Institute of Technology, Tiruchirappalli",29.8–33.9,9240,30.2,517,15.9,964,49.8,858,39.2,1084,17.6,1759,"7,037",18.5,2%,23 : 77,2023
The New School,29.8–33.9,9250,25.2,731,14.5,1067,47.2,901,37.0,1688,53.0,607,"9,692",9.7,35%,74 : 26,2023
New Mexico State University (Main campus),29.8–33.9,9260,23.2,862,22.2,659,44.8,946,39.9,983,37.5,1029,"12,285",16.0,6%,58 : 42,2023
Nippon Medical School,29.8–33.9,9270,26.8,660,9.5,1578,64.4,582,37.3,1522,18.4,1731,905,0.9,0%,37 : 63,2023
University of North Carolina at Greensboro,29.8–33.9,9280,25.1,739,19.0,798,48.3,885,37.3,1523,25.9,1429,"18,637",19.5,3%,67 : 33,2023
"Northeastern University, China",29.8–33.9,9290,27.1,646,24.8,564,31.3,1182,93.0,55,37.3,1034,"39,155",14.8,2%,0,2023
Northeast Normal University,29.8–33.9,9300,25.0,747,13.9,1112,54.6,770,40.2,932,25.0,1463,"30,310",18.7,4%,70 : 30,2023
University of Northern British Columbia (UNBC),29.8–33.9,9310,19.1,1207,21.5,681,45.2,942,37.4,1482,45.9,776,"3,008",15.6,11%,63 : 37,2023
Northern Illinois University,29.8–33.9,9320,28.3,593,16.7,913,47.1,906,37.6,1399,51.2,645,"13,768",14.4,7%,53 : 47,2023
Novosibirsk State University,29.8–33.9,9330,39.2,257,34.0,323,16.6,1515,39.2,1085,46.5,761,"7,276",6.3,22%,0,2023
Ohio University (Main campus),29.8–33.9,9340,27.6,618,18.8,807,55.7,751,38.0,1302,29.9,1275,"22,682",20.1,4%,57 : 43,2023
Old Dominion University,29.8–33.9,9350,23.2,863,19.5,766,47.4,895,36.9,1778,31.7,1204,"18,368",17.5,3%,56 : 44,2023
Ozyegin University,29.8–33.9,9360,17.2,1464,20.1,742,46.6,912,41.2,825,48.8,698,"5,958",27.2,7%,44 : 56,2023
Pablo de Olavide University,29.8–33.9,9370,17.4,1439,16.7,914,51.2,831,37.5,1442,51.0,651,"12,849",14.4,18%,59 : 41,2023
University of Palermo,29.8–33.9,9380,17.8,1380,21.9,669,56.3,732,37.5,1443,32.0,1192,"32,351",22.4,1%,58 : 42,2023
Panjab University,29.8–33.9,9390,30.5,502,14.6,1059,60.0,667,37.5,1444,17.1,1768,"18,918",17.6,1%,41 : 59,2023
Panthéon-Sorbonne University – Paris 1,29.8–33.9,9400,34.5,365,32.1,381,18.4,1455,37.1,1622,62.8,444,"35,547",29.0,20%,61 : 39,2023
Parthenope University of Naples,29.8–33.9,9410,16.7,1530,20.3,732,63.0,607,38.1,1284,27.8,1354,"11,555",33.7,2%,42 : 58,2023
Universiti Pendidikan Sultan Idris,29.8–33.9,9420,28.4,587,25.5,539,33.9,1135,99.9,15,61.7,458,"5,968",9.9,18%,55 : 45,2023
University of Peshawar,29.8–33.9,9430,30.5,503,10.8,1423,53.2,790,37.0,1695,42.2,896,"6,107",9.0,1%,32 : 68,2023
University of the Philippines,29.8–33.9,9440,21.4,1009,16.6,922,62.5,616,41.4,808,34.6,1116,"46,714",10.6,0%,52 : 48,2023
Universitat Politècnica de Catalunya,29.8–33.9,9450,27.3,635,19.3,779,43.8,957,43.5,645,58.7,504,"22,280",9.5,14%,27 : 73,2023
Polytechnic University of Valencia,29.8–33.9,9460,25.7,706,21.8,675,38.4,1059,48.9,434,51.2,646,"23,406",12.7,14%,41 : 59,2023
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),29.8–33.9,9470,28.1,600,25.6,537,30.9,1190,94.6,43,37.4,1031,"13,453",18.7,3%,50 : 50,2023
Pontifical Catholic University of Rio Grande do Sul (PUCRS),29.8–33.9,9480,25.6,711,17.1,885,50.2,849,41.7,782,29.6,1284,"14,096",21.3,1%,52 : 48,2023
Pontifical Javeriana University,29.8–33.9,9490,17.5,1425,11.1,1380,68.7,509,36.9,1780,43.6,846,"27,346",14.2,2%,55 : 45,2023
University of Pretoria,29.8–33.9,9500,27.9,607,31.6,394,35.3,1106,44.2,602,54.9,575,"36,492",21.7,7%,59 : 41,2023
Princess Nourah bint Abdulrahman University,29.8–33.9,9510,22.9,884,13.6,1137,46.3,918,45.6,538,85.5,159,"25,955",13.1,15%,100 : 0,2023
University of the Punjab,29.8–33.9,9520,24.2,802,14.0,1107,52.1,815,37.5,1445,39.1,980,"28,384",22.4,1%,52 : 48,2023
University of Rennes 1,29.8–33.9,9530,27.5,624,17.0,898,43.2,968,40.9,858,56.9,534,"28,275",18.5,11%,52 : 48,2023
University of Rhode Island,29.8–33.9,9540,23.3,853,18.0,845,56.0,742,37.2,1581,44.7,812,"15,851",14.5,3%,57 : 43,2023
Rhodes University,29.8–33.9,9550,24.8,759,13.4,1155,43.4,964,60.9,266,62.0,453,"6,872",17.0,14%,63 : 37,2023
University of Roehampton,29.8–33.9,9560,20.1,1123,21.4,690,39.5,1037,37.3,1528,81.2,207,"7,780",16.2,33%,69 : 31,2023
University of Rome III,29.8–33.9,9570,22.1,947,24.1,589,42.2,984,41.8,773,40.7,941,"33,264",47.7,5%,61 : 39,2023
